,Biovar 3 self,Biovar 3 alt,Biovar 1 self,Biovar 1 alt,Biovar 2 self,Biovar 2 alt,Biovar 4 self,Biovar 4 alt
Chromosome,C1,C2,none,C1,C1,none,C2,C1
Start Location,82593,0,,82580,1234792,,58,0
End Location,82793,200,,82780,1234992,,258,200
Rank,0.0,0.0,,0.0,0.1467236467236468,,0.0,0.0
Rolling Avg,0.016095990635060016,-0.06462784118622572,,-0.019245875883739195,0.23682867712718272,,0.020480928689883934,0.0
Refrence Genome,GCF_000157775_1_ASM15777v1_genomic,GCF_000157775_1_ASM15777v1_genomic,GCF_003994045_1_ASM399404v1_genomic,GCF_003994045_1_ASM399404v1_genomic,GCF_000371205_1_Bruc_suis_F5_05-4_V1_genomic,GCF_000371205_1_Bruc_suis_F5_05-4_V1_genomic,GCF_000366085_1_Bruc_suis_63_252_V1_genomic,GCF_000366085_1_Bruc_suis_63_252_V1_genomic
